cluster_id	scan_id	precursor_mz	precursor_charge	quality_score	confidence	ptm_flag	within_var	mean_similarity
45560	File: "C:\Fernando\20201022_FS_Choudhary_LMS2_FS03_MS2_16plex\20201022_FS_Choudhary_LMS2_FS03_MS2_16plex_04.raw"; SpectrumID: "752267"; PrecursorID: "0"; scans: "36786"	480.7875	2	0.9838	HIGH	False	0.0015	0.9985
45560	File: "C:\Fernando\20201022_FS_Choudhary_LMS2_FS03_MS2_16plex\20201022_FS_Choudhary_LMS2_FS03_MS2_16plex_04.raw"; SpectrumID: "752287"; PrecursorID: "0"; scans: "36808"	480.7874	2	0.9838	HIGH	False	0.0015	0.9985
45556	File: "C:\Fernando\20201022_FS_Choudhary_LMS2_FS03_MS2_16plex\20201022_FS_Choudhary_LMS2_FS03_MS2_16plex_04.raw"; SpectrumID: "730553"; PrecursorID: "0"; scans: "12697"	385.9103	3	0.9812	HIGH	False	0.0017	0.9983
45556	File: "C:\Fernando\20201022_FS_Choudhary_LMS2_FS03_MS2_16plex\20201022_FS_Choudhary_LMS2_FS03_MS2_16plex_05.raw"; SpectrumID: "795361"; PrecursorID: "0"; scans: "12490"	385.9104	3	0.9812	HIGH	False	0.0017	0.9983
45555	File: "C:\Fernando\20201022_FS_Choudhary_LMS2_FS03_MS2_16plex\20201022_FS_Choudhary_LMS2_FS03_MS2_16plex_03.raw"; SpectrumID: "665577"; PrecursorID: "0"; scans: "13497"	466.2669	3	0.9804	HIGH	False	0.0018	0.9982
45555	File: "C:\Fernando\20201022_FS_Choudhary_LMS2_FS03_MS2_16plex\20201022_FS_Choudhary_LMS2_FS03_MS2_16plex_05.raw"; SpectrumID: "796116"; PrecursorID: "0"; scans: "13324"	466.2671	3	0.9804	HIGH	False	0.0018	0.9982
26554	File: "C:\Fernando\20201022_FS_Choudhary_LMS2_FS03_MS2_16plex\20201022_FS_Choudhary_LMS2_FS03_MS2_16plex_05.raw"; SpectrumID: "804998"; PrecursorID: "0"; scans: "23297"	1248.7387	2	0.9798	HIGH	False	0.0019	0.9981
26554	File: "C:\Fernando\20201022_FS_Choudhary_LMS2_FS03_MS2_16plex\20201022_FS_Choudhary_LMS2_FS03_MS2_16plex_06.raw"; SpectrumID: "869737"; PrecursorID: "0"; scans: "23536"	1248.7385	2	0.9798	HIGH	False	0.0019	0.9981
45565	File: "C:\Fernando\20201022_FS_Choudhary_LMS2_FS03_MS2_16plex\20201022_FS_Choudhary_LMS2_FS03_MS2_16plex_07.raw"; SpectrumID: "931483"; PrecursorID: "0"; scans: "22251"	379.5680	3	0.9796	HIGH	False	0.0019	0.9981
45565	File: "C:\Fernando\20201022_FS_Choudhary_LMS2_FS03_MS2_16plex\20201022_FS_Choudhary_LMS2_FS03_MS2_16plex_08.raw"; SpectrumID: "997519"; PrecursorID: "0"; scans: "24462"	379.5683	3	0.9796	HIGH	False	0.0019	0.9981
45562	File: "C:\Fernando\20201022_FS_Choudhary_LMS2_FS03_MS2_16plex\20201022_FS_Choudhary_LMS2_FS03_MS2_16plex_05.raw"; SpectrumID: "803440"; PrecursorID: "0"; scans: "21590"	527.6598	3	0.9789	HIGH	False	0.0019	0.9981
45562	File: "C:\Fernando\20201022_FS_Choudhary_LMS2_FS03_MS2_16plex\20201022_FS_Choudhary_LMS2_FS03_MS2_16plex_06.raw"; SpectrumID: "868027"; PrecursorID: "0"; scans: "21641"	527.6603	3	0.9789	HIGH	False	0.0019	0.9981
45566	File: "C:\Fernando\20201022_FS_Choudhary_LMS2_FS03_MS2_16plex\20201022_FS_Choudhary_LMS2_FS03_MS2_16plex_07.raw"; SpectrumID: "938592"; PrecursorID: "0"; scans: "30170"	494.9785	3	0.9789	HIGH	False	0.0019	0.9981
45566	File: "C:\Fernando\20201022_FS_Choudhary_LMS2_FS03_MS2_16plex\20201022_FS_Choudhary_LMS2_FS03_MS2_16plex_07.raw"; SpectrumID: "938593"; PrecursorID: "0"; scans: "30172"	494.6446	3	0.9789	HIGH	False	0.0019	0.9981
1449	File: "C:\Fernando\20201022_FS_Choudhary_LMS2_FS03_MS2_16plex\20201022_FS_Choudhary_LMS2_FS03_MS2_16plex_01.raw"; SpectrumID: "530147"; PrecursorID: "0"; scans: "12402"	650.3284	2	0.9786	HIGH	False	0.0020	0.9980
1449	File: "C:\Fernando\20201022_FS_Choudhary_LMS2_FS03_MS2_16plex\20201022_FS_Choudhary_LMS2_FS03_MS2_16plex_01.raw"; SpectrumID: "530170"; PrecursorID: "0"; scans: "12426"	650.3286	2	0.9786	HIGH	False	0.0020	0.9980
33306	File: "C:\Fernando\20201022_FS_Choudhary_LMS2_FS03_MS2_16plex\20201022_FS_Choudhary_LMS2_FS03_MS2_16plex_06.raw"; SpectrumID: "865252"; PrecursorID: "0"; scans: "18614"	432.6106	3	0.9769	HIGH	False	0.0021	0.9979
33306	File: "C:\Fernando\20201022_FS_Choudhary_LMS2_FS03_MS2_16plex\20201022_FS_Choudhary_LMS2_FS03_MS2_16plex_06.raw"; SpectrumID: "865265"; PrecursorID: "0"; scans: "18628"	432.6229	3	0.9769	HIGH	False	0.0021	0.9979
